show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s4615,Movie,Nikka Zaildar 3,Simerjit Singh,"Ammy Virk, Wamiqa Gabbi",,,2019,13+,116 min,"Comedy, International",The film chronicles the story of Nikka whose father's soul enters his body following his death.,amazon,"4,2"
s4616,Movie,Learn Colors With Face Painting,HooplaKidz,,,,2019,ALL,5 min,"Kids, Special Interest",Why settle with ordinary learning videos when you can make learning so much fun and amazing? Let your little one learn colors like never before.,amazon,
s4617,Movie,Kuldip Patwal - I Didn't Do It,Remy Kohli,"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas, Priyanka Setia, Anurag Arora, Jameel Khan, Natasha Rastogi, V.K. Sharma, Rajeev Gaursingh, Prakash Joshi, Vikram Kochhar, Jaspal Sharma, Raj Shar, Rohit Shilwant",,,2018,13+,122 min,"Drama, Suspense","Kuldip Patwal (Deepak Dobriyal) is a young educated man in need of a good job. All his attempts to earn a living fail because of different policies introduced by the Chief Minister. One fateful day, the CM is shot down and Kuldip is thrown into jail on suspicion of murder. Did he actually commit the crime?",amazon,
s4618,TV Show,Clip: Sanjeevani,,"Baby NIYATHI, Aerukonda Vishnu, G V Babu, Sridhara Swami Bitavaram, Radhamma, Prabhakar",,,2021,16+,1 Season,Drama,"Dasharatham is a farmer living in a small village with his wife, son and grand daughter. He is little sick. How he recover and what he done is rest of the story. There is a surprise in the film which you like the most.",amazon,
s4619,Movie,Best of Gecko's Garage,,,,,2019,ALL,57 min,Kids,"Get ready for some of our favourite Gecko's Garage videos in this amazing collection! Come and join Gecko as he laughs, learns and plays with trucks.",amazon,
s4620,Movie,Anonymous,"David Christians, Anonymous User","David Christians, Kristal Schlichting, Anonymous Vitaly, Anonymous Englander, Kevin Martin, Lance Caver, Brad Royer, Andrew Costello, Anonymous Nada, Chris Pierce, Dave Smith, Tristan Luciotti, Diana Super, John Ruth",,,2020,16+,175 min,"Action, Science Fiction","1.0 - A Agent inside a dark NASA division using alien technology receives a packet by a new nation ""The Fewter Nationals"" who've armed a doomsday device as they hold his wife captive. Using new technology from the under water continent Atlantis. Hitler's elite who escaped World War II have now emerged. Agent Schwartz turns to his Russian family as he helps diffuse the weapon of mass destruction.",amazon,
s4621,Movie,Adithya Varma,Gireesaaya,"Dhruv Vikram, Banita Sandhu, Priya Anand, Anbu",India,,2019,18+,165 min,"Drama, International",Adithya Varma a short tempered house surgeon gets into a self-destructive phase addicting to drugs and alcohol when his girlfriend is forced to marry another person.,amazon,6.2
s4622,Movie,Adam Newman: Fuzzies,Jay Chapman,Adam Newman,,,2017,,66 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","In his first 1-hour special, Adam Newman delves into obscure B-horror movies, newly discovered Jetsons debauchery, and goes out on a well-deserved, world record setting mic drop.",amazon,"5,9"
s4623,TV Show,Wired Outdoors,,"Jason Say, Jon Collins",,"April 26, 2021",2020,13+,1 Season,"Action, Adventure, Sports",All Wired Outdoors Season 11 episodes,amazon,
s4624,Movie,Wajah Tum Ho,Vishal Pandya,"Sana Khaan, Sharman Joshi, Zarine Khan, Sherlyn Chopra, Rajneesh Duggal, Gurmeet Choudhary, Prarthana Behere",India,,2016,18+,131 min,"International, Suspense",A hooded vigilante is broadcasting murders on a news channel. Will the police catch him alive before he live-casts another death?,amazon,4.4
s4625,Movie,Tum Bin II,Anubhav Sinha,"Neha Sharma, Aditya Seal, Aashim Gulati, Meher Vij, Sonia Balani, Kanwaljit Singh, Jaspreet Singh, Chris Donald",,,2016,13+,141 min,"Drama, International, Romance","Taran (Neha Sharma) finds solace in Shekhar (Aditya Seal) while coping with the untimely death of her boyfriend Amar (Aashim Gulati). Love eventually finds a way as Shekhar helps Taran get on with her life. His companionship heals her wounds and almost mends her broken heart, until fate comes knocking…",amazon,4.8
