show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,platform,imdb_rating
s3271,Movie,Amma Ki Boli,Narayan Chauhan,"Master Aniket, Ashraf, Hrishitaa Bhatt, Nitu Dubey, Shravani Goswami, Jitendra Gupta, Aashique Hussain, Zakir Hussain, Jugnu Ishiqui, Farrukh Jaffar, Ishtiyak Khan, Raj Mishra, Sanjay Mishra, Govind Namdeo, Sitaram Panchal, Priyal Patil, Master Pranjul, Sania Priya, Ratan Rathaur, Anu Shah, Sheela Sharma, Himani Shivpuri, Anupam Shyam, Shekhar Singh, Shruti Solanki, Sunder, Sangeeta Tiwari",,,2019,13+,118 min,"Comedy, Drama","Ammaa Ki Boli revolves around an old-aged husband-less mother Ammaa (Faruk Zafar), her 5 grown-up children's and a second-rate two-seater scooter living in a small town.",amazon,"7,3"
s3275,TV Show,American Restoration,,Rick Dale,,,2013,TV-14,3 Seasons,"Documentary, Drama, Unscripted","American Restoration follows five of the best restoration shops in the United States as they not only restore pieces of America's history, but create new and awe-inspiring works from vintage items.",amazon,"6,6"
s3280,Movie,American Flag for Kids,Mark Knight,,,,2019,ALL,60 min,"Documentary, Special Interest","The American flag proudly waves atop Chimney Rock, a 315-foot (96 m) granite monolith, with views of Chimney Rock Park and surrounding Blue Ridge Mountains. Some of North Carolina's most dramatic mountain scenery is found at Chimney Rock State Park, with the signature 315-foot spire overlooking Hickory Nut Gorge and Lake Lure.",amazon,
s3289,TV Show,American Daredevils,,Mike Buse,,,2014,TV-14,1 Season,"Documentary, Drama, Unscripted","From the dirt tracks of America's heartland to the bright lights of the country's biggest speedways, American Daredevils brings to life the stories of the men who proudly carry the torch lit by Evel Knievel.",amazon,"6,2"
s3292,TV Show,America's Next Top Model,,"Tyra Banks, Nigel Barker, André Leon Talley",,,2010,TV-14,14 Seasons,Unscripted,"America's Next Top Model welcomes one of the most influential members of the fashion world, Andre Leon Talley, as a new judge during Cycle 14 of the hit show on The CW. Thirteen new hopefuls from across the country are given the chance to prove they have what it takes.",amazon,"5,5"
s3296,TV Show,Ambulance Australia,,Lisa Wilkinson,,,2019,13+,2 Seasons,"Documentary, Special Interest","With unprecedented access to New South Wales Ambulance's Sydney operations, Ambulance follows every step from the moment the call takers answer the triple zero call; to the dispatchers managing the high-pressure logistics; and the talented paramedics treating patients from all walks of life.",amazon,"8,6"
s3298,Movie,"Amazon Originals Presents: Shawn Colvin, The Starlighter","Jordan Stone, Martin Hughes",,,,2018,G,24 min,"Animation, Kids, Music Videos and Concerts","The video companion to Shawn Colvin’s album of lullabies, The Starlighter. Based on Victorian paper theatres and the illustration style of children’s books from the same era, each scene contains hundreds of layered illustrations, and every element in the video was drawn digitally before being animated by hand, each digitally painted before motion design was applied to create the complete figure.",amazon,
s3299,Movie,"Amazon Music Presents: The L, I Will Find You No Matter What","Jordan Stone, Martin Hughes",,,,2017,G,31 min,"Animation, Kids, Music Videos and Concerts","The 30-minute video takes viewers on a fantastic adventure, led by the paper art avatar of young Luc and includes songs from the album like, “All the Time,” “Space Escape,” “Denied,” “Robot” and “Popsicle.”",amazon,
s3300,Movie,Amazon Jack,,,,,2014,ALL,76 min,"Animation, Kids","The world's rarest and cutest creature, Amazon Jack, lives on a peaceful island. When a greedy millionaire puts out a reward to find him, Jack must leave his home, evade capture, and outwit the tycoon before he ends up in a zoo!",amazon,"6,2"
s3302,Movie,Amateur Night,"Lisa Addario, Joe Syracuse","Jason Biggs, Ashley Tisdale, Janet Montgomery, Bria Murphy, Jenny Mollen",,,2014,16+,89 min,Comedy,"Unemployed expectant dad Guy Carter (Jason Biggs) accepts a job as a chauffeur to 3 prostitutes (Ashley Tisdale, Janet Montgomery, Bria Murphy) and over the course of one wild night, discovers he may have the right stuff for fatherhood after all.",amazon,"5,8"
